Country Name,Series Name,Year1974,Year1975,Year1976,Year1977,Year1978,Year1979,Year1980,Year1981,Year1982,Year1983,Year1984,Year1985,Year1986,Year1987,Year1988,Year1989,Year1990,Year1991,Year1992,Year1993,Year1994,Year1995,Year1996,Year1997,Year1998,Year1999,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021,Year2022,Year2023
North America,"Adolescent fertility rate (births per 1,000 women ages 15-19)",54.0470267270601,52.2515564277227,50.0214028731744,49.9653165968468,48.971948090436,49.4324594738821,50.2905535398096,49.8988063440379,50.3510900471852,49.35097488003,48.2709558117542,48.1210448728468,47.1005046787685,47.7273458694223,50.8706266009654,54.689516971256,57.417990557681,57.8555512867359,56.2676049518614,54.5881174567882,53.5149866850911,51.2761886190465,48.8364742681281,47.3904818463853,46.6191072476267,45.301965571088,43.9721911182053,41.4906397834177,39.280028962502,37.9609191215796,37.2764992939255,36.60774926135,37.3423748152398,37.9547062747317,37.3120097220585,35.5128489518925,32.5325457869373,29.6721294802682,27.6028091561769,25.0950965231491,22.8447259278473,20.8086703235612,18.8680771855652,17.5028405218912,16.1715967568789,15.5630105407816,15.0515208187011,15.1855665145841,14.3758962097849,14.3758962097849
North America,"Fertility rate, total (births per woman)",1.83523418417232,1.7789832768283,1.74380665737887,1.78916785004738,1.76074921775751,1.80255988558028,1.82945848231624,1.80067232126173,1.81360366300271,1.78703656695564,1.79077266533159,1.82657884439552,1.82124737681801,1.85274433714372,1.90842746056679,1.98916424775948,2.05530922102044,2.0275357555237,2.01178617556658,1.98602638359985,1.96992004349026,1.94687809424757,1.94113841504531,1.93070440009602,1.9550532551042,1.96189832147897,2.0017801371462,1.98172752949388,1.97063664756916,1.99798632060273,2.00259006988872,2.00950797547804,2.06036599496071,2.07513532420647,2.03484935913273,1.97074136696226,1.90276632812161,1.86788372306598,1.85529848112987,1.83264309116629,1.8371666846801,1.81917836042279,1.79746907683133,1.74388852457675,1.70728633507386,1.68187958286351,1.61784531897909,1.64105384820809,1.63034850690789,1.63034850690789
North America,"School enrollment, tertiary (% gross)",48.5434494018555,51.7949714660645,54.8269386291504,53.444091796875,54.2747993469238,53.7925300598145,54.8792190551758,57.2137794494629,58.7267913818359,59.3995895385742,60.5708885192871,61.0496711730957,62.4370307922363,65.1078491210938,67.5888977050781,69.2309112548828,71.5944519042969,73.1778335571289,77.4639511108398,78.4823989868164,79.4912414550781,80.5201187133789,79.8092193603516,74.581672668457,69.374641418457,70.0455703735352,66.9041595458984,71.4757766723633,76.0470733642578,77.6197967529297,79.1841506958008,78.817008972168,81.1327362060547,82.1136474609375,83.0395965576172,85.3464279174805,85.422981262207,85.7929763793945,86.0839080810547,86.537956237793,86.5766830444336,86.8301391601562,86.9818725585938,86.4678726196289,86.455078125,86.3819427490234,86.2107009887695,84.1577987670898,79.1600570678711,79.1688003540039
North America,"School enrollment, secondary (% gross)",87.572639465332,87.5312576293945,87.6972122192383,88.1343231201172,88.2373962402344,83.1467590332031,95.6284408569336,94.7610397338867,97.9887771606445,97.3326568603516,98.1776809692383,96.601936340332,97.0958862304688,97.4790420532227,97.1619720458984,96.8465805053711,96.4796905517578,95.5374221801758,96.2209625244141,96.9813766479492,97.0060195922852,95.1752319335938,94.9397201538086,95.1897430419922,95.4402618408203,95.1175689697266,94.7891082763672,94.9032363891602,95.0205917358398,95.3166198730469,95.616813659668,95.5295486450195,95.2545700073242,95.444580078125,95.6483612060547,95.9278030395508,96.1022415161133,96.3486862182617,97.2844924926758,97.5356597900391,98.2207565307617,98.8826217651367,99.890007019043,100.061958312988,100.32991027832,101.005256652832,101.354026794434,101.911491394043,98.4523468017578,98.4308700561523
North America,"School enrollment, primary (% gross)",95.0186996459961,94.9648818969727,95.0993270874023,94.6077270507812,94.1215591430664,93.3543395996094,101.040397644043,101.014793395996,103.98860168457,104.009017944336,103.491409301758,102.954582214355,103.102043151855,103.165557861328,103.856086730957,104.561218261719,105.233108520508,104.349937438965,104.30541229248,104.24259185791,104.086097717285,104.951843261719,103.924270629883,102.877571105957,101.830909729004,101.14949798584,100.612861633301,100.225692749023,99.8388900756836,100.462059020996,101.08585357666,101.580657958984,101.985877990723,102.441116333008,102.839546203613,101.993133544922,101.325660705566,100.648780822754,100.087768554688,99.4475936889648,99.6594161987305,100.261497497559,101.118072509766,101.551818847656,101.055488586426,100.689529418945,100.067543029785,98.1183471679688,96.8812484741211,96.883903503418
North America,GDP per capita (current US$),7209.10009074679,7775.53369753102,8615.9107206683,9403.38782910036,10427.5163891898,11518.7411730326,12441.4411454969,13820.1360633662,14247.2890745479,15341.7170059818,16808.8367308835,17838.4911957743,18625.5550120448,19679.2211204503,21180.218599361,22652.5215878915,23653.3513218878,24094.0417993759,24974.7240852762,25772.0640446898,26931.6393144953,27897.9138475176,29112.2143828557,30518.0314990319,31691.9138489169,33320.9142526674,35151.3423951503,35831.3822545067,36651.9146706158,38395.4332650274,40788.3342265894,43368.3808064534,45741.0180331153,47727.505168113,48398.0892484061,46581.128985109,48552.818269355,50289.051161711,51881.2875507901,53341.1996899454,54877.3545553215,55701.8124434679,56617.8738074516,58796.4689001287,61512.706498042,63584.0377419401,62186.9899064628,69147.0491707873,74980.8332051402,78675.4809268757
Africa Eastern and Southern,"Adolescent fertility rate (births per 1,000 women ages 15-19)",152.504672544408,151.86791415169,150.533608687468,148.93109556429,146.644103471495,145.484720348173,143.75343754838,142.558131825617,141.191950820555,139.763806631955,138.785843258905,137.953223122652,136.12847932477,135.346146015478,133.911118066723,132.422604235282,132.845311378448,131.922595134796,128.650226745135,129.800646275656,128.792351238038,127.306550787239,128.239448076508,125.26199777544,123.860302659944,124.958023564541,123.134769131908,123.629170417788,121.936911479602,119.557516351678,118.823211926383,117.584240435768,116.401306961845,115.060877421007,114.933408732692,112.602370949035,111.758713212606,111.558594569883,109.532169608089,108.092795855758,107.697714993556,105.50183295561,103.222825498629,100.96352629023,99.4917026482317,99.0855722587841,97.4135847695511,96.1814423061057,94.6881808086008,94.6881808086008
Africa Eastern and Southern,"Fertility rate, total (births per woman)",6.8204292608423,6.8051717747318,6.7859950559852,6.76794302629266,6.7504028151318,6.73027624410496,6.70462343655892,6.67236184299929,6.63848913659031,6.60440812756985,6.56569583279938,6.51495731969789,6.46430997609552,6.41948882490515,6.34494192180498,6.26383763791519,6.1666084334135,6.09985759242091,6.0283389272847,5.95897282189694,5.89744192793445,5.84475912907833,5.77486441162948,5.7014655364271,5.64322172546997,5.58698766539404,5.52355316105243,5.48162442450645,5.43047454382283,5.38084645934598,5.34315909957376,5.30711992054212,5.26769087149091,5.2245752801543,5.19259197591937,5.11515623238387,5.04079676128023,4.96261090208225,4.87901791576055,4.80881970069337,4.73986120047803,4.67761773629276,4.61566985634981,4.5704088889247,4.52770519140796,4.48289806728591,4.41690032191029,4.35470911162756,4.28878750739892,4.28878750739892
Africa Eastern and Southern,"School enrollment, tertiary (% gross)",1.95048999786377,1.99505996704102,2.02551007270813,2.05232000350952,2.12987995147705,2.17006993293762,2.22383999824524,2.25886988639832,2.35362005233765,2.37891006469727,2.47049999237061,2.57978010177612,2.71320009231567,2.83267998695374,2.94925999641418,3.10331010818481,3.13509011268616,3.25391006469727,3.35310006141663,3.5731999874115,3.76291990280151,3.68391990661621,3.63452005386353,3.60538005828857,3.59977006912231,3.65201997756958,3.88636994361877,4.20995998382568,4.47115993499756,4.77924013137817,5.06202983856201,5.30094003677368,5.57385015487671,5.73407983779907,6.14678001403809,6.7424898147583,7.33560991287231,7.72187995910645,8.03396987915039,8.26618003845215,8.40075969696045,8.56680965423584,8.72994041442871,8.89616012573242,8.95779037475586,8.89772033691406,8.94729042053223,8.89552021026611,8.92140531539917,8.92140531539917
Africa Eastern and Southern,"School enrollment, secondary (% gross)",17.7034091949463,18.2366905212402,18.6968803405762,19.1301593780518,19.7233390808105,20.328670501709,21.0221405029297,21.5330104827881,22.3808002471924,23.0288600921631,23.7371406555176,24.5039596557617,24.7361793518066,24.7653102874756,24.661600112915,24.1962203979492,24.4128704071045,24.7756805419922,24.415060043335,24.5828495025635,25.0341796875,25.8681907653809,26.2008209228516,26.319450378418,27.1694602966309,27.4339294433594,27.6004199981689,28.6678905487061,29.3207302093506,29.9111099243164,31.3254203796387,32.3135108947754,33.8777389526367,35.3552894592285,36.879711151123,38.0843315124512,39.0978584289551,39.8236808776855,40.910758972168,41.6186714172363,42.7556381225586,42.7673301696777,42.8790588378906,43.140209197998,43.192928314209,43.3796195983887,43.6888198852539,43.8453788757324,43.7047004699707,43.7047004699707
